timestep	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
54400	-15227.07845	378.6195796	381.1616159
54500	-15326.1295	405.5695742	398.0022929
54600	-15164.032	360.6240077	379.2991941
54700	-15227.68481	374.2343178	358.8401638
54800	-15491.35206	372.6120173	363.4437242
54900	-15243.38939	361.5645677	383.3036506
55000	-15304.56511	345.146296	331.1498742
55100	-15208.95362	382.1141348	369.6491431
55200	-15360.93967	385.2517173	369.3546718
55300	-15504.00925	380.6551507	404.1274712
55400	-15382.61689	361.6829559	365.2635964
55500	-15262.68851	358.524134	393.8568522
55600	-15405.61123	362.4883657	349.1600876
55700	-15315.42537	367.340957	370.4682787
55800	-15350.96984	366.1408562	338.8908827
55900	-15385.57694	388.3620483	377.1614086
56000	-15405.27796	326.3850426	388.3754889
56100	-15192.95675	346.7636427	359.1911534
56200	-15436.88838	345.6871227	380.9357841
56300	-15885.20048	387.9049116	388.8363785
56400	-16042.58722	352.180342	396.246122
56500	-16239.8574	363.7178038	398.1708431
56600	-16471.16681	381.832717	365.4384665
56700	-16351.82166	355.9157794	345.5632
56800	-16389.26903	350.143375	364.291284
56900	-16456.11047	381.1209713	375.7595257
57000	-16280.62489	385.1537331	373.4484878
57100	-16161.38995	333.7260658	340.4604894
57200	-16367.29008	329.5303337	365.7862003
57300	-16214.00565	352.8858658	325.6313504
57400	-16531.84978	349.2395113	337.6756362
57500	-16964.0373	350.6022509	356.600501
57600	-16936.90041	342.3545598	355.9859693
57700	-16875.44769	349.3273382	354.6829012
57800	-16856.40166	341.0313927	335.8224636
57900	-17072.29602	397.5662407	341.508912
58000	-17138.91469	346.1043262	342.6847078
58100	-16845.43397	325.0100586	323.2988539
58200	-17037.68393	342.0768792	364.4019429
58300	-16958.87852	339.2546013	326.4180428
58400	-17017.12131	334.8399983	323.5292441
58500	-16919.27973	349.9914415	332.1455969
58600	-16937.87479	363.2757561	337.7516585
58700	-17057.72977	337.4992366	372.5993677
58800	-17060.68325	341.577972	346.6552654
58900	-17264.82897	351.6845738	390.2564085
59000	-17162.79816	330.8726314	395.2681896
59100	-17194.50723	344.3112973	414.0619377
59200	-17163.24382	378.610578	398.1377153
59300	-17253.62787	344.3441012	378.2481441
59400	-17337.71569	352.2300386	373.3410856
59500	-17246.3182	365.5761856	366.1330138
59600	-17259.05748	362.6723466	368.2273043
59700	-17160.32263	340.193306	394.1321001
59800	-17251.5764	362.5212656	359.0032591
59900	-17330.85762	352.3079819	355.1746143
60000	-17291.61168	365.0301186	345.4457196
60100	-17119.05418	366.6661193	354.8279861
60200	-17149.1612	366.1769323	320.6615087
60300	-17307.38882	356.8766669	349.5015842
60400	-17377.61128	332.8787611	326.3469432
60500	-17472.29987	360.7938445	343.577251
60600	-17665.94937	352.6626047	400.6117546
60700	-17671.34502	361.9530082	381.3600807
60800	-17501.32486	342.3992299	367.9423934
60900	-17578.65836	351.3782095	356.7448637
61000	-17453.7161	382.3041888	357.1554962
61100	-17541.90967	359.9255088	351.7357576
61200	-17545.82038	363.7770498	355.4100846
61300	-17559.8519	356.46134	342.5554629
61400	-17615.20534	360.7371	376.7569345
61500	-17423.72526	363.1342277	359.4591189
61600	-17621.55534	363.737517	339.3207955
61700	-17619.42577	349.0382462	365.4332042
61800	-17583.57337	359.0299617	338.7241172
61900	-17589.48639	353.3621928	339.5754337
62000	-17666.78253	391.037701	356.3787762
62100	-17688.01311	379.6353356	366.7472997
62200	-17707.16866	385.0792869	379.9346581
62300	-17657.34297	368.5155951	345.0945171
62400	-17882.52412	406.6222344	325.3425872
62500	-17967.91149	393.3053289	351.1132489
