timestep	temperature	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
4080	0.7710144564	5154.613983	77.48695287	0
4090	0.6339812349	5168.486151	63.71511411	0
4100	0.7281588579	5159.04407	73.17996522	0
4110	0.7320979047	5158.757523	73.57583943	0
4120	0.6563475825	5166.431775	65.96293204	0
4130	0.7654704524	5155.525125	76.92978046	0
4140	0.8610898089	5145.896408	86.53952579	0
4150	0.811173323	5150.992646	81.52291897	0
4160	0.7003868451	5162.341126	70.38887793	0
4170	0.6272831695	5169.611851	63.04195854	0
4180	0.7422285363	5158.144596	74.5939679	0
4190	0.6466686897	5167.758978	64.99020331	0
4200	0.6786951089	5164.878501	68.20885845	0
4210	0.7897984467	5154.194203	79.37474389	0
4220	0.6290235726	5170.725723	63.21686905	0
4230	0.6435846944	5169.399139	64.68026179	0
4240	0.6803416456	5165.635819	68.37433538	0
4250	0.7856363557	5154.635779	78.95645375	0
4260	0.6854868686	5164.473046	68.89143029	0
4270	0.743467533	5158.118595	74.71848706	0
4280	0.7527068652	5156.989367	75.64703996	0
4290	0.7405494185	5158.165704	74.42521656	0
4300	0.7483031033	5157.426236	75.20446188	0
4310	0.7138805581	5160.890726	71.74499609	0
4320	0.6544877975	5166.58653	65.77602364	0
4330	0.6528090891	5166.437815	65.60731345	0
4340	0.736681131	5158.260933	74.03645367	0
4350	0.613318038	5170.709862	61.63846282	0
4360	0.7410093872	5157.845173	74.47144341	0
4370	0.8170573593	5150.05699	82.11426461	0
4380	0.6874222279	5162.943462	69.0859339	0
4390	0.6959764242	5161.838446	69.94563063	0
4400	0.8654494171	5144.994642	86.97766642	0
4410	0.8222103562	5147.97873	82.6321408	0
4420	0.5682204163	5173.618937	57.10615184	0
4430	0.5640017473	5174.266644	56.68217561	0
4440	0.7626885146	5154.165904	76.65019571	0
4450	0.7023099382	5160.08535	70.58214879	0
4460	0.559608759	5174.279525	56.24068028	0
4470	0.7359490076	5156.701253	73.96287526	0
4480	0.727853092	5157.639068	73.14923575	0
4490	0.6602188514	5164.787538	66.35199456	0
